"declarationDate","state","placeCode","disasterNumber","title"
"2012-07-27T11:00:00 -04:00","VA",47672,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",99143,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",70000,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-07-27T11:00:00 -04:00","VA",99185,4072,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-02T15:00:00 -04:00","MT",99075,4074,"WILDFIRE"
"2012-08-20T16:10:00 -04:00","OH",99011,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99045,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99065,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99083,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99109,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99121,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99137,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-20T16:10:00 -04:00","OH",99175,4077,"SEVERE STORMS AND STRAIGHT-LINE WINDS"
"2012-08-24T16:00:00 -04:00","NM",47990,4079,"FLOODING"
"2012-08-29T22:50:00 -04:00","LA",99087,4080,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","LA",99107,4080,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","MS",99007,4081,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","MS",99043,4081,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","MS",99059,4081,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","MS",99069,4081,"HURRICANE ISAAC"
"2012-08-29T22:50:00 -04:00","MS",99099,4081,"HURRICANE ISAAC"
"2013-04-19T15:00:00 -04:00","MA",99015,4110,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99009,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99023,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99043,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99071,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99125,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99137,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-10T18:15:00 -04:00","IL",99161,4116,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-05-31T15:00:00 -04:00","IA",99177,4119,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"
"2013-06-18T16:02:00 -04:00","MI",99053,4121,"FLOODING "
"2013-06-18T16:02:00 -04:00","MI",99103,4121,"FLOODING "
"2013-06-18T16:02:00 -04:00","MI",99133,4121,"FLOODING "
"2013-06-25T16:21:00 -04:00","AR",99037,4124,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-06-28T16:00:00 -04:00","SD",99007,4125,"SEVERE STORMS, TORNADO, AND FLOODING"
"2013-07-02T13:40:00 -04:00","IA",99087,4126,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-07-02T13:40:00 -04:00","IA",99115,4126,"SEVERE STORMS, TORNADOES, AND FLOODING"
"2013-07-02T13:40:00 -04:00","IA",99133,4126,"SEVERE STORMS, TORNADOES, AND FLOODING"
